Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-05-10,Star Wars,1977,https://boxd.it/9EfWrB,3.5,Yes,better than i remember. the story (esp the first half) is mid but the characters and quips 100% make up for it. i get why people thought this was revolutionary in 1977 ,,2025-05-09
2025-05-11,The Empire Strikes Back,1980,https://boxd.it/9FbgdN,4.5,Yes,i dont remember yoda being crazy like that omg he canonically went insane from being in hiding for so long ,,2025-05-10
2025-05-13,Return of the Jedi,1983,https://boxd.it/9GmVcR,4.5,Yes,"“they think im some sort of god” 

*luke trying to hold in a laugh* ",,2025-05-12
2025-05-15,Star Wars: The Force Awakens,2015,https://boxd.it/9H4xWz,3,Yes,"move, ball 

(i really REALLY wanted to rate this higher but i feel like so much of it is out of character / out of canon / just not true star wars and im confused on wtf disney did to sw) ",,2025-05-14
2025-05-15,Star Wars: The Last Jedi,2017,https://boxd.it/9HqCxt,3,Yes,"red throne room fight & the last 20ish minutes: 😁👍🏻

basically the rest of the movie: 😴",,2025-05-14
2025-05-17,Star Wars: The Rise of Skywalker,2019,https://boxd.it/9I8qLV,1,Yes,"this is so diabolical in every way - diabolically stupid, diabolically annoying, diabolically weird, diabolically doesn’t make any sense, diabolically useless, diabolically a waste of my time",,2025-05-16
2025-05-17,Star Wars: The Clone Wars,2008,https://boxd.it/9IrZ7p,2.5,,love anakin and ahsoka bonding time (ik the tv show is better but i just cant commit to 7 seasons),,2025-05-16
2025-05-18,A Simple Favor,2018,https://boxd.it/9J5OYx,3.5,,i dont even know what happened i just wish they menage a trois'd,,2025-05-17
2025-05-19,Another Simple Favor,2025,https://boxd.it/9JDZKT,1.5,,"what’s next, a motherfucker????",,2025-05-18
2025-05-20,When Harry Met Sally...,1989,https://boxd.it/9KomKf,5,,enemies to friends to lovers perfection ,,2025-05-19
2025-05-21,Sinners,2025,https://boxd.it/9KT9K9,4,,dance scene was fire (literally),in theatres,2025-05-20
2025-05-22,Jumper,2008,https://boxd.it/9LsBhJ,3.5,,this contains so many things i typically like about movies so slightly embarrassed to say i thought this was pretty decent 😭 hayden rachel and the fray … this is so 2000s core,,2025-05-21
2025-05-23,Trainspotting,1996,https://boxd.it/9M04dR,4,,this was sick. and it made me feel sick (in many ways more than one).,,2025-05-22
2025-05-25,T2 Trainspotting,2017,https://boxd.it/9MV3Y7,3,,veronica clocking that she’s the third wheel was an insane read,,2025-05-24
2025-05-25,Worth the Wait,2025,https://boxd.it/9N1ANX,2.5,,"“she’s not just some girl, dad” okayyy pack it up bro",,2025-05-24
2025-05-25,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/9NkLNn,4.5,,i wish i knew how to ~forget~ you,i cry,2025-05-24
2025-05-28,Grease,1978,https://boxd.it/9PcbDt,3.5,Yes,the epitome of men vs women is that the man would just throw a sweater over his regular outfit and the woman would wear something completely new,,2025-05-27
2025-05-28,Grease 2,1982,https://boxd.it/9Pq0pj,3.5,,this to me is giving more high school musical and teen beach movie than it is grease (half the reason i watched this is bc julian baker from one tree hill loves it),,2025-05-27
2025-05-30,Notting Hill,1999,https://boxd.it/9Qwm1p,3,,he’s soooo y/n,,2025-05-29
2025-05-31,Step Up,2006,https://boxd.it/9R2uCH,4,,final dance was fire but there is no way everyone wouldve cheered like that when she changed the dance back,,2025-05-30
2025-06-01,Step Up 2: The Streets,2008,https://boxd.it/9RziFl,2.5,,soundtrack slaps but not enough harry shum jr,,2025-05-31
2025-06-02,Step Up 3D,2010,https://boxd.it/9SfOol,2.5,,bro ditched his best friend and followed a random guy into a creepy warehouse after knowing him for 1 minute,,2025-06-01
2025-06-02,Step Up Revolution,2012,https://boxd.it/9Szj9p,3,,"you’ll NEVER guess how she pronounced gala 

(acting sucked but the dances were cool and the story was decently intriguing)",,2025-06-01
2025-06-03,Step Up All In,2014,https://boxd.it/9Tcyl9,2,,connect the dots sister 💅,,2025-06-02
2025-06-04,But I'm a Cheerleader,1999,https://boxd.it/9TKmtt,3.5,,"if ‘mothers domineering the house’ is a root, i’m gay as fuck (happy pride month)",,2025-06-03
