Date,Name,Year,Rating,Rewatch,Tags,Watched Date,Letterboxd URI,Like
2024-11-13,We Live in Time,2024,4.5,No,in theatres,2024-11-12,https://boxd.it/FC5u,True
2024-11-22,Wicked,2024,5.0,No,in theatres,2024-11-21,https://boxd.it/e8ME,True
2024-11-28,Hamilton,2020,,Yes,on stage,2023-07-01,https://boxd.it/kmvE,True
2024-11-28,The Hunger Games: The Ballad of Songbirds & Snakes,2023,4.5,Yes,background noise,2024-11-27,https://boxd.it/pZCY,True
2024-11-28,Mean Girls,2024,,Yes,on stage,2024-08-03,https://boxd.it/1VNg,True
2024-11-28,Mean Girls,2024,,Yes,on stage,2024-08-03,https://boxd.it/p6nO,True
2024-11-28,42nd Street,2019,,No,on stage,2024-01-04,https://boxd.it/lTws,True
2024-12-16,Moulin Rouge!,2001,3.5,No,,2024-12-15,https://boxd.it/29wI,True
2024-12-27,Inside Out 2,2024,3.0,No,,2024-12-26,https://boxd.it/CFrC,True
2024-12-28,Moulin Rouge!,2001,3.5,Yes,,2024-12-27,https://boxd.it/29wI,True
2024-12-30,Moulin Rouge!,2001,4.5,Yes,on stage,2024-12-29,https://boxd.it/29wI,True
2025-01-01,High School Musical 3: Senior Year,2008,5.0,Yes,,2025-01-01,https://boxd.it/1SR0,True
2025-01-10,Everyone is Doing Great,2018,3.0,No,,2025-01-09,https://boxd.it/hNaW,True
2025-01-19,Mr. & Mrs. Smith,2005,5.0,Yes,,2025-01-18,https://boxd.it/29CG,True
2025-01-19,Sixteen Candles,1984,1.0,No,,2025-01-18,https://boxd.it/1MJk,False
2025-01-29,One of Them Days,2025,4.0,No,in theatres,2025-01-28,https://boxd.it/MReU,True
2025-02-28,A Walk to Remember,2002,5.0,Yes,i cry,2025-02-27,https://boxd.it/1WLq,True
2025-03-14,Mickey 17,2025,3.5,No,in theatres,2025-03-13,https://boxd.it/q1Dk,True
2025-03-23,Puppy Love,2023,2.5,No,,2025-03-22,https://boxd.it/HeaE,True
2025-03-24,Bottled with Love,2019,3.5,Yes,,2025-03-23,https://boxd.it/lA9a,True
2025-03-25,Bride Wars,2009,3.0,No,,2025-03-24,https://boxd.it/1W3I,True
2025-03-28,Back to the Future,1985,4.5,Yes,background noise,2025-03-27,https://boxd.it/2b8e,True
2025-03-29,Back to the Future Part II,1989,4.0,Yes,background noise,2025-03-28,https://boxd.it/2aYI,True
2025-03-30,The Gorge,2025,3.0,No,,2025-03-29,https://boxd.it/zRqK,False
2025-03-30,Back to the Future Part III,1990,3.0,Yes,background noise,2025-03-29,https://boxd.it/2aTS,True
2025-03-31,Knives Out,2019,4.5,No,,2025-03-30,https://boxd.it/jWEA,True
2025-04-01,Death of a Unicorn,2025,2.5,No,in theatres,2025-03-31,https://boxd.it/HCPm,False
2025-04-07,Glass Onion,2022,4.0,No,,2025-04-06,https://boxd.it/oCkK,True
2025-04-11,Snow White,2025,1.5,No,in theatres,2025-04-10,https://boxd.it/fVuc,False
2025-04-28,Past Lives,2023,,No,,,https://boxd.it/oNB8,True
2025-04-29,Past Lives,2023,4.5,No,i cry,2025-04-28,https://boxd.it/oNB8,True
2025-05-03,Star Wars: Episode I – The Phantom Menace,1999,,No,,,https://boxd.it/27Vc,False
2025-05-04,Star Wars: Episode I – The Phantom Menace,1999,2.0,No,,2025-05-03,https://boxd.it/27Vc,False
2025-05-06,Star Wars: Episode II – Attack of the Clones,2002,,No,,,https://boxd.it/27V2,False
2025-05-07,Solo: A Star Wars Story,2018,,No,,,https://boxd.it/bGWs,False
2025-05-07,Star Wars: Episode III – Revenge of the Sith,2005,4.0,No,,2025-05-06,https://boxd.it/27US,True
