Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-08-20,Drive,2011,https://boxd.it/aNtw3Z,3.5,,,2025-08-19
2025-08-21,Superbad,2007,https://boxd.it/aO8NuF,4.5,,,2025-08-20
2025-08-22,10 Things I Hate About You,1999,https://boxd.it/aOy46F,5,Yes,,2025-08-21
2025-08-22,She's All That,1999,https://boxd.it/aONye5,3.5,Yes,background noise,2025-08-21
2025-08-23,The Map That Leads to You,2025,https://boxd.it/aPoztT,3,,"train time, i cry",2025-08-22
2025-09-01,Wicked,2024,https://boxd.it/aVKaa1,5,Yes,background noise,2025-08-31
2025-09-02,Zombieland,2009,https://boxd.it/aWqtLJ,4.5,,,2025-09-01
2025-09-02,Zombieland: Double Tap,2019,https://boxd.it/aWEkYd,3.5,,,2025-09-01
2025-09-03,The Roses,2025,https://boxd.it/aX8gxd,4,,in theatres,2025-09-02
2025-09-04,Stay the Night,2022,https://boxd.it/aXPeql,4.5,,,2025-09-03
2025-10-04,Taylor Swift | The Official Release Party of a Showgirl,2025,https://boxd.it/bfNxH9,3.5,,in theatres,2025-10-03
2025-11-02,Girl vs. Monster,2012,https://boxd.it/bzr7yL,3.5,,,2025-10-31
2025-11-03,Cruel Intentions,1999,https://boxd.it/bAkXVd,4,,,2025-11-02
2025-11-06,Thank You for Smoking,2005,https://boxd.it/bCl9gJ,3,,,2025-11-05
2025-11-07,First Daughter,2004,https://boxd.it/bCRiYz,2.5,,,2025-11-06
2025-11-09,Twilight,2008,https://boxd.it/bElfP9,3,,,2025-11-08
2025-11-11,The Twilight Saga: New Moon,2009,https://boxd.it/bFXnBf,2.5,,,2025-11-10
2025-11-16,The Twilight Saga: Eclipse,2010,https://boxd.it/bJlILb,2,,,2025-11-15
2025-11-17,The Twilight Saga: Breaking Dawn – Part 1,2011,https://boxd.it/bKaEcN,3,,,2025-11-16
2025-11-21,The Twilight Saga: Breaking Dawn – Part 2,2012,https://boxd.it/bMG99l,2.5,,,2025-11-20
2025-11-22,Wicked: For Good,2025,https://boxd.it/bNgTkB,4.5,,"in theatres, i cry",2025-11-21
